ID;Pengguna;Produk;Rating;Label;Ulasan;File Gambar
1000;H;KAOS KAKI ORTUSEIGHT HELIOS MID FB SOCKSVarian: Hitam;5;Positif;Sesuai Ukuran Bahan Nyaman Gol 👍;gambar_produk_baru/produk_182_9.jpg
1015;Shendy;SEPATU RUNNING ADIDAS GALAXY 6 M - IE8135Varian: 6;3;Netral;Barangnya okay tp packingnya asal2an kotak sepatunya robek2 dan peyot;
1017;H;KAOS KAKI ORTUSEIGHT HELIOS MID FB SOCKSVarian: Hitam;5;Positif;Sesuai Ukuran Bahan Nyaman Gol 👍;gambar_produk_baru/produk_195_9.jpg
1027;Aang;SEPATU SNEAKERS ORTUSEIGHT 100% ORIGINAL HARVARD (Black White);5;Positif;Tidak ada ulasan;gambar_produk_baru/produk_198_1.jpg
1029;B***n;SEPATU BOLA ORTUSEIGHT CATALYST VISION V4 FG K-LEA - OFF WHITEVarian: 42;3;Netral;Barang sampe tapi box nya penyok parah bangettt🥲;gambar_produk_baru/produk_55_0.jpg
1029;Aang;SEPATU SNEAKERS ORTUSEIGHT 100% ORIGINAL HARVARD (Black White);5;Positif;Tidak ada ulasan;gambar_produk_baru/produk_191_1.jpg
1030;Jiraya;SEPATU FUTSAL ORTUSEIGHT CATALYST BEAST IN - WHITE CYAN FLUO GREENVarian: 41;3;Netral;Tidak ada ulasan;gambar_produk_baru/produk_46_9.jpg
1032;Aang;SEPATU SNEAKERS ORTUSEIGHT 100% ORIGINAL HARVARD (Black White);5;Positif;Tidak ada ulasan;gambar_produk_baru/produk_197_1.jpg
1033;Farez;SEPATU LARI/RUNNING ORTUSEIGHT HYPERBLAST 2.0 - WHITE/CYANVarian: 42;5;Positif;Nyaman, no doubt, packing jg aman;gambar_produk_baru/produk_162_1.jpg
1036;Iwan;SEPATU SNEAKERS ORTUSEIGHT BRISTOL 1.2 - ASH GREYVarian: 43;4;Netral;respon seller & pengiriman OK. kotak packaging nyampe penyok2, tp siapa jg yg butuh klo isinya msh bagus mulus 😁 Tampilan sepatu bagus, ga kelihatan aneh. lumayan ke...;gambar_produk_baru/produk_110_8.jpg
